,Numero
6522,957931
6523,923198
6524,954223
6525,796124
6526,720644
6527,916822
6528,951208
6529,957656
6530,938125
6531,923774
6532,951044
6533,941411
6534,920083
6535,940852
6536,926418
6537,936883
6538,953236
6539,926773
6540,957228
6541,955598
6542,953293
6543,942264
6544,957082
6545,716854
6546,788664
6547,946721
6548,769854
6549,754314
6550,931156
6551,929446
6552,905123
6553,930855
6554,938505
6555,950265
6556,947781
6557,725314
6558,903395
6559,935343
6560,944043
6561,955695
6562,909865
6563,922582
6564,947138
6565,937402
6566,939871
6567,950894
6568,956468
6569,945391
6570,951093
6571,930525
6572,948728
6573,948362
6574,921328
6575,951616
6576,916365
6577,915518
6578,951346
6579,931178
6580,912752
6581,920346
6582,718104
6583,946831
6584,950021
6585,947194
6586,905523
6587,955551
6588,751264
6589,795424
6590,783677
6591,720184
6592,906404
6593,948704
6594,917364
6595,913464
6596,953614
6597,927671
6598,913373
6599,769694
6600,738594
6601,926264
6602,915845
6603,909988
6604,755404
6605,757824
6606,905182
6607,737334
6608,940053
6609,919881
6610,905448
6611,712834
6612,713414
6613,760704
6614,723874
6615,782574
6616,750274
6617,769534
6618,779624
6619,740864
6620,750484
6621,755614
6622,956638
6623,901521
6624,904914
6625,954794
6626,782404
6627,925755
6628,944614
6629,902408
6630,939816
6631,956985
6632,928021
6633,909725
6634,933271
6635,922912
6636,926828
6637,921442
6638,929198
6639,904063
6640,948723
6641,940428
6642,917022
6643,922598
6644,942894
6645,957353
6646,913236
6647,787364
6648,915104
6649,948306
6650,940658
6651,950924
6652,920515
6653,927904
6654,955878
6655,915103
6656,957853
6657,959073
6658,956186
6659,949833
6660,914302
6661,766614
6662,934066
6663,935094
6664,904858
6665,941013
6666,931196
6667,941896
6668,923726
6669,902956
6670,782486
6671,778086
6672,761044
6673,009716
6674,901282
6675,925188
6676,932266
6677,792924
6678,774687
6679,735554
6680,783204
6681,918853
6682,725936
6683,729096
6684,909604
6685,729214
6686,915182
6687,905404
6688,954186
6689,923765
6690,943904
6691,935811
6692,952004
6693,944964
6694,906976
6695,951268
6696,905041
6697,903335
6698,729405
6699,941605
6700,957326
6701,922036
6702,918532
6703,764546
6704,933624
6705,904475
6706,762594
6707,929675
6708,900984
6709,944746
6710,958141
6711,911401
6712,926323
6713,915231
6714,936395
6715,940145
6716,906935
6717,939113
6718,900186
6719,958433
6720,944168
6721,910166
6722,936003
6723,943084
6724,930581
6725,927916
6726,949705
6727,914914
6728,737974
6729,909466
6730,956521
6731,930385
6732,909198
6733,905322
6734,938192
6735,905021
6736,787704
6737,910761
6738,905368
6739,937885
6740,731254
6741,942525
6742,919744
6743,945684
6744,912326
6745,906074
6746,942866
6747,914281
6748,934465
6749,724294
6750,928656
6751,903176
6752,930073
6753,931715
6754,902532
6755,923122
6756,956405
6757,932374
6758,707486
6759,788266
6760,009677
6761,701116
6762,921706
6763,725356
6764,903483
6765,700576
6766,796116
6767,940951
6768,748786
6769,901595
6770,739706
6771,913798
6772,787866
6773,737106
6774,789934
6775,753866
6776,771474
6777,722054
6778,931014
6779,740536
6780,946651
6781,753276
6782,923116
6783,718424
6784,774626
6785,750756
6786,792056
6787,746194
6788,941886
6789,736674
6790,924436
6791,909962
6792,906443
6793,712744
6794,746376
6795,729636
6796,751896
6797,771186
6798,769326
6799,748056
6800,009475
6801,799486
6802,777836
6803,797554
6804,949932
6805,700486
6806,764026
6807,784436
6808,924208
6809,942763
6810,945008
6811,908496
6812,935658
6813,763766
6814,959684
6815,959106
6816,777486
6817,799356
6818,779906
6819,742796
6820,744266
6821,778276
6822,744286
6823,901226
6824,959036
6825,720656
6826,777456
6827,734296
6828,710856
6829,701466
6830,703476
6831,798416
6832,920231
6833,784066
6834,953631
6835,937094
6836,716466
6837,725426
6838,752396
6839,794646
6840,752296
6841,936093
6842,744876
6843,768206
6844,752956
6845,759166
6846,746526
6847,756476
6848,798246
6849,714336
6850,767896
6851,730316
6852,767016
6853,737906
6854,778966
6855,709386
6856,706476
6857,745736
6858,729156
6859,758776
6860,756526
6861,735436
6862,700574
6863,777254
6864,771574
6865,712466
6866,750684
6867,770314
6868,910146
6869,917024
6870,900144
6871,723824
6872,939535
6873,931434
6874,937608
6875,904746
6876,903732
6877,921991
6878,941394
6879,900676
6880,958363
6881,952065
6882,785234
6883,789144
6884,797394
6885,924634
6886,936605
6887,918161
6888,900115
6889,704085
6890,946362
6891,718556
6892,799496
6893,712644
6894,764204
6895,911654
6896,765014
6897,752464
6898,906184
6899,905854
6900,949484
6901,711684
6902,917891
6903,742144
6904,921418
6905,757736
6906,769174
6907,787954
6908,945748
6909,944678
6910,900177
6911,927287
6912,923387
6913,919642
6914,911356
6915,709897
6916,911835
6917,707494
6918,908665
6919,701474
6920,909558
6921,708934
6922,767204
6923,959218
6924,727364
6925,710864
6926,912478
6927,921205
6928,938381
6929,955126
6930,914668
6931,938436
6932,757174
6933,754844
6934,745254
6935,773224
6936,911372
6937,756134
6938,753274
6939,764954
6940,751154
6941,773194
6942,756124
6943,783044
6944,756034
6945,707234
6946,797244
6947,783604
6948,753004
6949,794464
6950,709904
6951,754474
6952,939326
6953,758424
6954,944524
6955,923342
6956,918385
6957,763954
6958,904293
6959,711244
6960,723954
6961,752044
6962,752324
6963,919905
6964,792384
6965,911431
6966,776934
6967,756014
6968,921514
6969,785584
6970,918881
6971,904913
6972,918895
6973,956094
6974,009213
6975,792178
6976,792176
6977,000071
6978,796459
6979,710578
6980,796454
6981,762916
6982,795538
6983,795534
6984,755496
6985,959618
6986,904602
6987,959235
6988,911524
6989,716868
6990,776964
6991,794078
6992,794084
6993,794076
6994,794088
6995,701536
6996,901392
6997,945681
6998,935008
6999,921216
7000,929816
7001,915716
7002,904683
7003,936416
7004,703704
7005,721224
7006,774234
7007,909491
7008,703184
7009,791694
7010,733274
7011,730794
7012,933405
7013,714074
7014,741364
7015,774694
7016,792244
7017,726438
7018,770014
7019,730606
7020,718934
7021,906705
7022,919202
7023,920631
7024,949621
7025,913043
7026,912815
7027,755636
7028,750366
7029,945454
7030,723676
7031,930505
7032,922413
7033,706504
7034,739926
7035,775734
7036,747088
7037,747084
7038,922496
7039,776156
7040,795648
7041,795688
7042,795646
7043,795674
7044,766884
7045,901993
7046,913044
7047,952006
7048,946784
7049,915641
7050,922371
7051,924968
7052,903106
7053,938425
7054,922374
7055,919704
7056,933304
7057,931984
7058,934104
7059,716794
7060,777764
7061,952936
7062,931372
7063,950331
7064,942266
7065,711774
7066,947365
7067,914253
7068,929616
7069,919531
7070,957685
7071,716034
7072,901713
7073,954993
7074,740704
7075,771084
7076,749204
7077,933514
7078,907224
7079,959251
7080,707994
7081,725286
7082,737026
7083,908894
7084,931374
7085,716194
7086,903774
7087,907238
7088,772514
7089,944773
7090,953406
7091,944303
7092,762624
7093,904295
7094,905741
7095,927113
7096,953178
7097,944003
7098,931405
7099,905238
7100,910666
7101,937151
7102,920591
7103,913163
7104,932974
7105,958244
7106,782184
7107,723536
7108,933654
7109,701814
7110,710614
7111,722086
7112,905048
7113,772954
7114,779034
7115,728004
7116,956302
7117,706954
7118,708754
7119,715114
7120,957108
7121,783206
7122,798234
7123,748574
7124,754454
7125,790557
7126,715714
7127,744834
7128,746144
7129,900054
7130,745864
7131,743404
7132,701894
7133,762544
7134,775654
7135,771194
7136,927211
7137,934095
7138,907615
7139,794698
7140,794588
7141,794576
7142,794564
7143,769176
7144,923004
7145,792848
7146,792858
7147,792836
7148,792854
7149,908172
7150,958328
7151,735244
7152,747384
7153,795154
7154,918668
7155,944094
7156,952862
7157,943245
7158,724474
7159,794324
7160,951975
7161,901246
7162,760754
7163,929252
7164,769654
7165,736054
7166,785945
7167,783984
7168,928524
7169,767534
7170,927694
7171,926664
7172,916645
7173,738604
7174,734014
7175,764964
7176,750584
7177,947343
7178,938134
7179,707624
7180,727524
7181,742836
7182,748776
7183,714326
7184,766346
7185,772205
7186,788235
7187,700435
7188,944402
7189,798688
7190,798684
7191,766414
7192,923808
7193,715484
7194,944228
7195,957405
7196,786774
7197,914658
7198,780244
7199,930834
7200,917804
7201,718364
7202,957004
7203,933365
7204,910643
7205,947842
7206,783594
7207,912093
7208,949894
7209,749074
7210,927836
7211,704904
7212,919064
7213,951505
7214,946124
7215,759054
7216,771414
7217,768134
7218,767284
7219,940254
7220,947614
7221,940693
7222,940118
7223,754154
7224,945502
7225,928864
7226,927715
7227,754434
7228,710734
7229,942985
7230,948406
7231,947071
7232,952753
7233,946125
7234,917782
7235,927228
7236,958154
7237,906924
7238,947911
7239,733674
7240,728174
7241,788384
7242,958151
7243,704874
7244,902924
7245,710894
7246,938245
7247,944822
7248,750984
7249,958526
7250,936232
7251,939483
7252,938611
7253,958772
7254,940632
7255,928681
7256,924966
7257,937651
7258,947263
7259,902813
7260,915065
7261,791924
7262,952198
7263,928035
7264,910576
7265,722414
7266,701975
7267,746915
7268,747634
7269,711925
7270,956351
7271,775375
7272,785224
7273,799664
7274,748156
7275,767656
7276,753706
7277,951056
7278,924206
7279,770396
7280,916205
7281,938393
7282,789706
7283,754626
7284,719776
7285,009743
7286,762326
7287,950406
7288,751356
7289,950736
7290,726066
7291,009772
7292,957278
7293,933448
7294,920806
7295,930981
7296,740176
7297,921351
7298,900525
7299,768815
7300,928388
7301,720014
7302,918866
7303,913293
7304,756106
7305,727406
7306,758394
7307,740515
7308,736746
7309,906066
7310,906266
7311,935772
7312,958438
7313,946598
7314,943598
7315,940643
7316,912135
7317,943294
7318,947126
7319,922084
7320,957974
7321,908514
7322,752204
7323,957444
7324,732674
7325,924931
7326,769074
7327,942386
7328,921188
7329,774804
7330,948656
7331,954124
7332,917642
7333,935138
7334,932375
7335,934102
7336,713854
7337,722356
7338,732226
7339,730856
7340,769986
7341,009369
7342,785544
7343,783194
7344,941804
7345,908041
7346,942023
7347,926291
7348,946436
7349,919891
7350,939543
7351,955308
7352,910604
7353,758184
7354,922551
7355,775124
7356,748234
7357,917886
7358,943214
7359,933748
7360,931304
7361,949411
7362,947804
7363,951896
7364,923301
7365,926816
7366,944506
7367,916783
7368,946434
7369,784574
7370,956061
7371,739644
7372,945115
7373,921795
7374,719904
7375,748614
7376,772154
7377,950628
7378,925538
7379,958621
7380,923334
7381,738464
7382,929645
7383,747044
7384,700254
7385,924742
7386,785714
7387,916844
7388,958322
7389,944606
7390,796734
7391,932573
7392,791024
7393,786794
7394,907574
7395,777724
7396,730754
7397,911982
7398,707334
7399,757034
7400,929488
7401,959188
7402,721174
7403,943256
7404,790324
7405,777224
7406,757635
7407,797714
7408,761234
7409,910861
7410,723974
7411,759314
7412,938254
7413,905026
7414,790004
7415,935755
7416,761574
7417,930314
7418,911916
7419,935551
8205,906362
8206,951272
8237,915304
